<source_id>,<source_type>,<dest_id>,<dest_type>,<link_type>,<link_traffic>,<link_saturation>,<stalled_chunks>
16,R,23,R,L,0,0.000000,0
16,R,31,R,G,0,0.000000,0
16,R,39,R,G,0,0.000000,0
16,R,47,R,G,0,0.000000,0
16,R,55,R,G,0,0.000000,0
16,R,64,T,CN,0,0.000000,0
16,R,65,T,CN,0,0.000000,0
16,R,66,T,CN,0,0.000000,0
16,R,67,T,CN,0,0.000000,0
17,R,16,R,L,0,0.000000,0
17,R,18,R,L,0,0.000000,0
17,R,19,R,L,0,0.000000,0
17,R,20,R,L,0,0.000000,0
17,R,21,R,L,0,0.000000,0
17,R,22,R,L,0,0.000000,0
17,R,23,R,L,0,0.000000,0
17,R,62,R,G,0,0.000000,0
17,R,70,R,G,0,0.000000,0
17,R,78,R,G,0,0.000000,0
17,R,86,R,G,0,0.000000,0
17,R,68,T,CN,0,0.000000,0
17,R,69,T,CN,0,0.000000,0
17,R,70,T,CN,0,0.000000,0
17,R,71,T,CN,0,0.000000,0
18,R,16,R,L,0,0.000000,0
18,R,17,R,L,0,0.000000,0
18,R,19,R,L,0,0.000000,0
18,R,20,R,L,0,0.000000,0
18,R,21,R,L,0,0.000000,0
18,R,22,R,L,0,0.000000,0
18,R,23,R,L,0,0.000000,0
18,R,93,R,G,0,0.000000,0
18,R,101,R,G,0,0.000000,0
18,R,109,R,G,0,0.000000,0
18,R,117,R,G,0,0.000000,0
18,R,72,T,CN,0,0.000000,0
18,R,73,T,CN,0,0.000000,0
18,R,74,T,CN,0,0.000000,0
18,R,75,T,CN,0,0.000000,0
19,R,16,R,L,0,0.000000,0
19,R,17,R,L,0,0.000000,0
19,R,18,R,L,0,0.000000,0
19,R,20,R,L,0,0.000000,0
19,R,21,R,L,0,0.000000,0
19,R,22,R,L,0,0.000000,0
19,R,23,R,L,0,0.000000,0
19,R,124,R,G,0,0.000000,0
19,R,132,R,G,0,0.000000,0
19,R,140,R,G,0,0.000000,0
19,R,148,R,G,0,0.000000,0
19,R,76,T,CN,0,0.000000,0
19,R,77,T,CN,0,0.000000,0
19,R,78,T,CN,0,0.000000,0
19,R,79,T,CN,0,0.000000,0
20,R,16,R,L,0,0.000000,0
20,R,17,R,L,0,0.000000,0
20,R,18,R,L,0,0.000000,0
20,R,19,R,L,0,0.000000,0
20,R,21,R,L,0,0.000000,0
20,R,22,R,L,0,0.000000,0
20,R,23,R,L,0,0.000000,0
20,R,155,R,G,0,0.000000,0
20,R,163,R,G,0,0.000000,0
20,R,171,R,G,0,0.000000,0
20,R,179,R,G,0,0.000000,0
20,R,80,T,CN,0,0.000000,0
20,R,81,T,CN,0,0.000000,0
20,R,82,T,CN,0,0.000000,0
20,R,83,T,CN,0,0.000000,0
21,R,16,R,L,0,0.000000,0
21,R,17,R,L,0,0.000000,0
21,R,18,R,L,0,0.000000,0
21,R,19,R,L,0,0.000000,0
21,R,20,R,L,0,0.000000,0
21,R,22,R,L,0,0.000000,0
21,R,23,R,L,0,0.000000,0
21,R,186,R,G,0,0.000000,0
21,R,194,R,G,0,0.000000,0
21,R,202,R,G,0,0.000000,0
21,R,210,R,G,0,0.000000,0
21,R,84,T,CN,0,0.000000,0
21,R,85,T,CN,0,0.000000,0
21,R,86,T,CN,0,0.000000,0
21,R,87,T,CN,0,0.000000,0
22,R,16,R,L,0,0.000000,0
22,R,17,R,L,0,0.000000,0
22,R,18,R,L,0,0.000000,0
22,R,19,R,L,0,0.000000,0
22,R,20,R,L,0,0.000000,0
22,R,21,R,L,0,0.000000,0
22,R,23,R,L,0,0.000000,0
22,R,217,R,G,0,0.000000,0
22,R,225,R,G,0,0.000000,0
22,R,233,R,G,0,0.000000,0
22,R,241,R,G,0,0.000000,0
22,R,88,T,CN,0,0.000000,0
22,R,89,T,CN,0,0.000000,0
22,R,90,T,CN,0,0.000000,0
22,R,91,T,CN,0,0.000000,0
23,R,16,R,L,0,0.000000,0
23,R,17,R,L,0,0.000000,0
23,R,18,R,L,0,0.000000,0
23,R,19,R,L,0,0.000000,0
23,R,20,R,L,0,0.000000,0
23,R,21,R,L,0,0.000000,0
23,R,22,R,L,0,0.000000,0
23,R,0,R,G,0,0.000000,0
23,R,8,R,G,0,0.000000,0
23,R,248,R,G,0,0.000000,0
23,R,256,R,G,0,0.000000,0
23,R,92,T,CN,0,0.000000,0
23,R,93,T,CN,0,0.000000,0
23,R,94,T,CN,0,0.000000,0
23,R,95,T,CN,0,0.000000,0
96,T,24,R,CN,0,0.000000,0
97,T,24,R,CN,0,0.000000,0
98,T,24,R,CN,0,0.000000,0
99,T,24,R,CN,0,0.000000,0
