con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1604903947,1615124256,1625071961,374557664.5,762211793.6,862842797.7,1570703712,1570703712,1570703712,367921239.8,665434236.4,722758606.8
1638568957,1630705889,1640632789,366236212.3,790890391.9,895503077,1675053851,1675053851,1675053851,321579897.8,670104420.1,727865240.6
1617892307,1610029240,1612201084,362014406.5,769071454.5,856981930.2,1641452111,1641452111,1641452111,343703263.9,634643924.3,704088651.6
1604965404,1602272372,1609614254,380143485.2,774606885.9,864419123.8,1649203665,1649203665,1649203665,309020888.7,620537336.4,679253476.1
1537532288,1537915683,1535816404,367755713.2,780587934.6,895086541.6,1462822480,1462822480,1462822480,311573715.6,656833143.8,714657638.5
1462543822,1431889809,1440147790,325073765.5,708165033.2,799486167.8,1437004277,1437004277,1437004277,278255522,576766429.3,637113198.3
1457377286,1426723272,1434981252,362491906.8,899552527,886807399.5,1442177812,1442177812,1442177812,159530047.6,618547490.7,872706960.1
1439280345,1421551425,1427224388,306432589,886963258.7,872095051.8,1444759333,1444759333,1444759333,131554562.4,601244198.3,854495805.9
1426358754,1416384887,1424642867,386136663.2,935081882.8,918023658.9,1447347850,1447347850,1447347850,177052981.9,638077671.4,886559673.5
1472882058,1468011242,1460772273,387405366.7,915174901.8,915679343.3,1521026349,1521026349,1521026349,208117126.7,659234757,911840548.5
1426355225,1429239465,1416830461,329782634.4,856782736.2,849638417,1479669554,1479669554,1479669554,127580793.7,584583004.8,832711765.6
1436693486,1465426223,1458187254,387651632.5,929086123.7,918155842.4,1528779715,1528779715,1528779715,206339697.5,659775780.4,905013034.3
1426356912,1449919612,1450435700,484421372.3,524238128.4,517026944.7,1528783215,1528783215,1528783215,340604396,407549678,415939186.5
1511621853,1506751040,1504682107,437508614.9,487884637.4,474041811.3,1513306777,1513306777,1513306777,407636617.7,438055926.9,469112232.8
1483190150,1473149299,1465910330,484555146.5,520831862,515761610.7,1484875072,1484875072,1484875072,455566272.4,469099296,484377088.4
1462508190,1486070892,1476246904,451247483.3,482037132.6,480872131.3,1505550031,1505550031,1505550031,474162624.1,473810273.6,519830407.8
1436661505,1470564279,1460740292,457351148.8,491746182.6,485010796.9,1492628439,1492628439,1492628439,478243110.4,491000461.1,529895175.4
268410860.2,268410829.7,265826669.6,460656451.5,503809129,486945405.3,341446008.9,341446008.9,341446008.9,450952651.3,477771186.6,495168323.1
368113677.9,368113711.3,370697868.4,390416553.1,427540686.3,414294719.5,567620837.2,567620837.2,567620837.2,376727456.7,397479288.6,429744663.9
1627885780,1653215637,1645166253,415610209.3,685830795,750568759.5,1581992934,1581992934,1581992934,340404169.3,657271042.1,633665390.2
1598340928,1624783777,1632239505,444589591.4,727323850.1,785339332.7,1571651172,1571651172,1571651172,367798336.4,688770463.7,659910297.9
1560573592,1560756712,1524707225,456285643.1,731966296.4,782606510.8,1401543027,1401543027,1401543027,362234411.9,682176806.7,655873124.6
1565745318,1557781485,1532072074,397587781.7,721277153.5,786512238.1,1417053139,1417053139,1417053139,286013107.9,673536281.4,645060570.7
1596746428,1627931711,1584144909,395321416.7,670391540.9,743193975.1,1492400861,1492400861,1492400861,319863814.7,631319408.5,597793133.8
1601918155,1638273475,1594486673,428965966.3,694522157,758450313.9,1515666029,1515666029,1515666029,292644280.4,632838031.7,607083683.9
1573528792,1558231270,1568682330,419633477,836709977.3,689167424.1,1533717933,1533717933,1533717933,397966115.7,736845879.5,728746792.4
1539533343,1524235821,1534686880,416073311.6,847661081.3,757190050.1,1525569292,1525569292,1525569292,362548168.7,765171005.1,766312043.1
1589021164,1612481179,1591929755,418839592.7,859617186.8,757560655.3,1497563155,1497563155,1497563155,366212365.8,759254027.2,763079382.2
1557610735,1583655769,1560519325,402226918.7,817671507,687016870.9,1484244478,1484244478,1484244478,294780532.2,685761741.3,683386427.3
1589006870,1571182223,1558343680,395435363.2,827811612.6,721959429.2,1567283309,1567283309,1567283309,434145085.4,756562675.9,754218900.3
1573496759,1534993653,1535080203,456651165.5,842902853.7,726458499.8,1551773200,1551773200,1551773200,399240325.1,740646778.9,729630761.6
1632934446,1633187187,1604856272,323197650.1,770119167.9,671605639.5,1510448383,1510448383,1510448383,267420848.9,653156354.7,650020746.3
1630349428,1620263785,1591932869,169910850.6,796116270.1,814634927.2,1507863367,1507863367,1507863367,147728551.6,883263059.2,831925290
1601961753,1558316711,1568713542,175064919.8,806723571.6,835001108,1536239111,1536239111,1536239111,141600641.4,885207397.7,835732155.2
1558579070,1553963612,1503384837,161915315.2,795905512.3,823916161,1413700167,1413700167,1413700167,130823606.2,864540254.4,826570303
1527541105,1530661274,1474930205,361361512.3,772953289.5,657129557.9,1314016880,1314016880,1314016880,289665153.8,825754367.5,615753915.7
1492725626,1517737871,1459421783,371467292.4,761080091.9,667645831.3,1330822249,1330822249,1330822249,308059412.8,852466035.4,631321636.5
1482285722,1447160254,1417059878,363095746.2,761714985.4,647346937.8,1477253938,1477253938,1477253938,301315489.4,845569332.6,621779023.1
1466773923,1426480107,1383458014,334729097.7,735735147.9,636995053.5,1464327158,1464327158,1464327158,286906643,811576355.6,602683856.7
1508101063,1488485706,1455800309,291170628.1,690983804.6,605298785.7,1448836476,1448836476,1448836476,159708606.4,761415454.1,537893127.6
1497759302,1472975597,1427368485,164966466.1,245969315.8,242623321.1,1441079735,1441079735,1441079735,120252264.1,202230670,187229850.4
