con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
11567.48251,11596.8268,21699.09751,20770.68568,34904.06519,34904.06519,15883.52146,15640.42744
11805.04184,11869.57662,15699.48724,15480.73876,51032.79798,51032.79798,11023.80421,11466.95767
11710.31493,11751.63601,18056.63408,17413.00167,50873.74451,50873.74451,13157.8425,13546.35926
11926.90426,11944.75257,21989.04843,20584.44438,41351.98026,41351.98026,14124.3656,14335.44257
11656.73113,11684.1006,16676.39583,16091.6358,47933.92342,47933.92342,11048.7646,11162.21036
11354.87478,11372.59719,18804.32536,17886.77048,48687.18184,48687.18184,16270.69122,15863.79754
13657.37746,13662.76902,23382.9177,21780.75551,53729.67295,53729.67295,16793.51037,16928.07015
16329.96148,16330.27162,16045.33798,15853.97305,44474.15809,44474.15809,10930.01137,11527.22668
13195.99774,13127.62071,19645.51834,19448.6052,47153.91183,47153.91183,17566.86025,17793.40899
13388.70234,13274.94374,19688.27944,18989.72682,46999.49116,46999.49116,18796.27942,18641.04934
14883.33378,14793.8531,17669.05696,17673.18461,42913.30072,42913.30072,15514.6114,15930.36412
12027.95483,12109.09661,16398.9314,17208.53767,32798.11211,32798.11211,12903.85019,13730.18415
13914.41361,13962.40564,15869.65681,15767.50398,53992.28143,53992.28143,15218.69321,15226.77192
10941.74178,10951.21708,18970.67074,18545.50816,48668.39502,48668.39502,19643.56438,19549.14523
11188.22262,11196.82205,16963.27253,17127.20703,48298.60702,48298.60702,12349.07772,12767.54822
13596.46776,13541.43019,17677.43928,17768.35623,37411.65719,37411.65719,13926.00422,15266.80306
15272.46797,15359.94543,16296.14817,16466.29711,54253.94428,54253.94428,14458.41656,14596.91812
15480.08539,15295.51605,20733.62456,19856.91673,54925.92106,54925.92106,17530.33554,17881.62005
13151.51351,13155.16733,18059.78976,18450.45972,56896.78693,56896.78693,14873.00413,15682.93594
14514.8143,14586.369,20586.62302,19814.58209,59421.03031,59421.03031,14048.87811,14136.35308
9570.342556,9526.210158,19392.97518,18364.09249,24562.09532,24562.09533,20758.30591,19994.0137
8218.254345,8159.427361,17180.63763,17121.55182,24118.32296,24118.32296,15215.02876,15685.85551
13956.01804,14035.41687,16627.70534,16889.40865,21649.14592,21649.14592,13090.62755,13376.50898
13672.12236,13736.47329,17309.10384,16753.24405,25449.75596,25449.75596,13328.74539,14403.81359
12814.8947,12702.93953,15595.79695,15495.35736,15505.81142,15505.81142,11850.10852,12259.73259
11500.21565,11461.77173,16617.46746,16131.26561,18907.52131,18907.52131,12405.10445,13088.21429
19028.53055,18844.1437,14759.1674,15360.11936,37833.53701,37833.53701,13736.86309,14391.43085
13254.28427,13239.4825,16934.972,17644.5158,38387.34313,38387.34313,16317.26669,16254.21183
9793.856459,9787.14425,17270.77167,17642.57052,33603.86633,33603.86633,16101.82111,15735.24767
