con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
335915949.5,336539099.4,218245284.3,243756365.6,992516060.9,992516060.9,485831154,550929163.7
335918603.2,336535373.9,218243841.5,243666835.5,992519286.2,992519286.2,485831599.7,550926848.2
335915457.1,336538605.8,218241801.4,243758850.6,992518207.3,992518207.3,485825689.9,550923698.9
335913966.5,336542904.4,218244459.3,243662165.2,992517206.2,992517206.2,485830326.8,550866817.1
335913385.7,336545966.1,218246112.6,243758021.5,992520690.8,992520690.8,485830390.2,550929991.6
335912988.8,336542985.8,218244037.5,243665141.5,992520202.7,992520202.7,485830074.9,550927044.4
335912326.5,336544562.4,218237545.8,243760057.5,992522181.4,992522181.4,485826897.3,550980410.8
335917107.7,336541246.1,218243543.2,243753386.1,992517458.6,992517458.6,485830326.8,550929164.1
335912963.9,336540013.9,218242629.5,243753384.5,992520115.4,992520115.4,485830326.1,550935456.8
335915787.5,336538097.8,218243544.3,243759678,992519285.7,992519285.7,485831983,550935456.1
335914342.1,336540415.7,218244370.7,243753384.6,992521027.8,992521027.8,485825754.7,550929991.5
335913631.4,336540585.6,218243458.1,243753384.9,992517456.2,992517456.2,485826519.2,550968273.9
335913047,336541751.4,218236337.7,243765969.6,992520114.2,992520114.2,485825689.6,550980858.8
335914305,336541838.1,218243457.9,243752557.2,992518795.9,992518795.9,485831157.1,550936285.2
335911163.1,336539674.6,218246988.6,243669982.6,992521029.4,992521029.4,485835574.7,550923702.6
335914123.5,336538183.2,218249587.1,243669946.7,992516051.4,992516051.4,485831819.3,550868309.6
335913630,336538678.1,218249752.2,243668370.6,992517882.2,992517882.2,485831982.2,550875860.8
335915457.3,336539434.2,218240694,243663688,992515312.4,992515312.4,485828452.2,550923700.7
335915708.5,336540011.4,218238654.9,243754875.7,992515974.2,992515974.2,485822543.4,550926844.6
335917943.6,336540417.8,218239484.5,243750239.2,992518294.4,992518294.4,485822609.3,550971420.7
335913139.4,336541907.3,218240648.3,243765141.8,992518870.5,992518870.5,485831981.3,550929992.4
335916135.2,336541668.7,218243460.8,243665477.3,992523349,992523349,485832810.7,550932760
335914645.3,336540417.2,218240314.4,243663244.3,992523926.2,992523926.2,485828836,550923320.7
335915122.3,336541666.8,218246985.2,243762376.9,992518544.9,992518544.9,485834681.8,550939812.6
335916285.7,336538761.9,218241225.4,243756530.7,992519123.2,992519123.2,485827093.2,550933139.4
335918979.2,336538695.4,218241719.4,243663735.9,992522432.5,992522432.5,485832392.8,550931018.6
335915748.4,336540927.1,218252071.1,243670689.5,992522520.8,992522520.8,485833475,550869965.3
335915207.9,336540837.7,218245777.8,243666137.5,992518546.6,992518546.6,485831733,550868223.3
335914459.2,336539845.2,218240312.4,243756531.3,992519121.5,992519121.5,485823373.5,550977712.9
335917198.7,336538520.5,218248476.5,243668836.2,992521115.3,992521115.3,485832839.1,550869329.4
335914879.8,336542664.2,218242966.9,243761168,992521693.2,992521693.2,485833473.2,550926845.7
335918183.8,336536865,218243460.1,243663819.7,992517140.7,992517140.7,485830327.7,550866818
335916776.8,336541009,218241801.7,243758850.8,992516888.2,992516888.2,485830327.9,550929164.4
335920258.9,336538029.3,218240314.7,243662331.2,992519286,992519286,485830988.1,550929613.9
335915457.6,336536210.8,218245778.1,243666137.8,992518207.8,992518207.8,485828836.5,550922492.4
335913138.1,336543648.4,218249389,243760059.2,992517205.8,992517205.8,485837893.2,550936666.6
335911733.9,336543312.6,218243796.2,243660674.2,992520691.2,992520691.2,485834301.6,550870791.9
335912988.6,336542242.7,218239483.5,243761996.3,992520202.4,992520202.4,485828835.4,550976885.2
335913240.1,336544477.4,218244947.8,243755704.6,992522181.7,992522181.7,485828836.3,550926845.3
335912719.2,336543071.4,218245778.1,243666137.7,992517459,992517459,485831733.2,550868223.5
335912224.7,336544476.8,218246604.8,243667793.9,992520115.2,992520115.2,485833473.1,550869963.4
335917489.7,336543582.2,218248097.2,243668456.8,992519286.1,992519286.1,485830329.4,550866819.7
335912601,336544073.2,218247070.8,243761550.2,992521028.4,992521028.4,485833854.4,550932691.7
335912889.4,336543984,218247517.4,243756531.9,992517457,992517457,485834301,550926845.8
335913966.9,336543820.1,218246606.5,243665224.9,992520114,992520114,485828836.5,550865326.8
335914393.6,336541581.2,218243459.9,243663819.6,992518796.6,992518796.6,485831155.9,550867646.1
335912904.8,336545811.2,218247070.4,243754428.4,992521029.3,992521029.3,485828389.3,550932691.2
335914123.4,336540839.5,218248097,243670113.5,992516051.4,992516051.4,485836618.4,550931103.6
335914544.1,336543242.2,218246986.8,243668176,992517882.4,992517882.4,485835985.6,550872475.9
335916285.1,336537690.8,218237548.6,243664046.3,992515312.1,992515312.1,485830772.2,550926847.4
335913139,336539924.8,218244175.9,243767841.4,992515973.9,992515973.9,485835508.9,550939812.6
335919433.6,336536618.4,218247322.7,243665094.8,992521440.4,992521440.4,485837828,550874318.3
335918939.7,336538848.8,218253700.1,243765523.7,992522016.3,992522016.3,485837064.4,550936666.2
335919281.7,336537609.7,218246987.8,243668091.8,992526495.6,992526495.6,485834745.6,550929994.8
335918227.3,336537359.6,218243458.6,243759677.5,992527072.6,992527072.6,485826519.6,550973738.4
335918268.7,336538435.3,218245667.6,243663373.6,992521691.3,992521691.3,485831535.2,550868025.5
335919516.3,336538271.7,218245861.3,243755703.4,992522604.8,992522604.8,485827180.2,550926845.5
335921297.1,336537169.2,218246605.9,243665224.3,992525578.4,992525578.4,485828836,550865326.3
335919807.8,336539522.3,218252899,243673258.7,992525667,992525667,485835957.5,550929613.3
335917526.3,336536779.4,218237546.9,243758316.7,992520865,992520865,485829029.3,550979497.9
335920260.6,336539185.6,218246606.7,243667710.8,992521528,992521528,485829665.5,550929613.7
335921171.7,336537200.4,218235424.8,243753384.9,992525088.2,992525088.2,485824776.7,550974566.2
335918855.7,336536863.5,218244176.3,243661948.4,992525668.7,992525668.7,485834681.6,550871171.9
335922242.9,336534546.8,218246606.7,243668623.4,992519458.6,992519458.6,485835128.3,550929613
335919095.6,336539519.4,218247518.3,243761995.8,992519207.1,992519207.1,485835957,550933137.7
335920921.7,336534853.2,218237165.1,243759677.8,992521604.8,992521604.8,485826517,550974566.8
335917775.8,336533807.5,218253279.4,243674468.5,992520526,992520526,485840147.7,550876638
335918026.2,336539764.2,218243840.5,243664944.5,992519524.6,992519524.6,485831598.3,550926847.5
335913746.7,336543737,218244371.2,243759678.3,992523009.1,992523009.1,485831154.8,550923699.6
335917048.5,336538359.1,218246606.4,243666966,992523349.1,992523349.1,485833474,550869964.3
335916385.8,336542244.7,218241719,243662823,992525327.4,992525327.4,485827756.4,550924725.9
335918519.4,336541666.3,218239864,243762378.6,992520604.7,992520604.7,485833920.4,550937328.6
335915372.2,336544901.1,218252898.3,243674087.4,992523261.8,992523261.8,485839766.5,550876256.8
335918151.2,336538694.8,218240313.9,243664224.2,992522432.6,992522432.6,485828835.5,550923320.1
335917574.3,336540927.3,218235759.9,243761994.8,992524174.8,992524174.8,485828007.1,550983176.3
335917691.4,336537445.2,218239820.9,243758849.9,992520602.9,992520602.9,485831153.8,550935457.5
